population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,China,Male,75-79 years,Probability of death,2023,0.2186531911972059,0.2773195981132161,0.16716024383573305
All Population,Life table,China,Female,75-79 years,Probability of death,2023,0.1496340428279033,0.1934303171412865,0.1160842786353628
All Population,Life table,China,Male,80-84 years,Probability of death,2023,0.35864579636132227,0.4392716135878515,0.28712618723710953
All Population,Life table,China,Female,80-84 years,Probability of death,2023,0.277751536532405,0.3482793323802369,0.22100710155206327
All Population,Life table,China,Male,85-89 years,Probability of death,2023,0.5137940870982405,0.6147444276278056,0.42010896575715967
All Population,Life table,China,Female,85-89 years,Probability of death,2023,0.43668002891352264,0.5198253161687986,0.35217074515832947
All Population,Life table,China,Male,90-94 years,Probability of death,2023,0.656428358947659,0.7591012654679858,0.5525057740374105
All Population,Life table,China,Female,90-94 years,Probability of death,2023,0.6156836458716192,0.7148663939542074,0.520295694580944
All Population,Life table,China,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,China,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Democratic People's Republic of Korea,Male,10-14 years,Probability of death,2023,0.0016941947847206238,0.002284486409070363,0.0012614118378902917
All Population,Life table,Democratic People's Republic of Korea,Female,10-14 years,Probability of death,2023,0.0014556253634077814,0.0019028917332397498,0.0010772589326249222
All Population,Life table,Democratic People's Republic of Korea,Male,15-19 years,Probability of death,2023,0.003472234602662721,0.004620001628786188,0.0025811615046382407
All Population,Life table,Democratic People's Republic of Korea,Female,15-19 years,Probability of death,2023,0.002253036712585649,0.0029035846581819957,0.0016274379652675669
All Population,Life table,Democratic People's Republic of Korea,Male,20-24 years,Probability of death,2023,0.00459452909797955,0.0059457834593095,0.003429818370861307
All Population,Life table,Democratic People's Republic of Korea,Female,20-24 years,Probability of death,2023,0.002908657217224509,0.003802559377618664,0.0021808873822542017
All Population,Life table,Democratic People's Republic of Korea,Male,25-29 years,Probability of death,2023,0.006432716414871371,0.008408975870859642,0.004754770761496219
All Population,Life table,Democratic People's Republic of Korea,Female,25-29 years,Probability of death,2023,0.0037073156158548264,0.0049753816944382665,0.002779155183502996
All Population,Life table,Democratic People's Republic of Korea,Male,30-34 years,Probability of death,2023,0.008990570356562253,0.011634808023086262,0.006693002780141924
All Population,Life table,Democratic People's Republic of Korea,Female,30-34 years,Probability of death,2023,0.004744991157501546,0.006264489960026795,0.003546829296950571
All Population,Life table,Democratic People's Republic of Korea,Male,35-39 years,Probability of death,2023,0.013136493487320966,0.01695234120425126,0.009845569613078843
All Population,Life table,Democratic People's Republic of Korea,Female,35-39 years,Probability of death,2023,0.006432213351146775,0.008351033363233947,0.004747168774618227
All Population,Life table,Democratic People's Republic of Korea,Male,40-44 years,Probability of death,2023,0.02018693927320186,0.026491553551741667,0.015128507072029262
All Population,Life table,Democratic People's Republic of Korea,Female,40-44 years,Probability of death,2023,0.009425647981499672,0.012209430865133724,0.007101148979469487
All Population,Life table,Democratic People's Republic of Korea,Male,45-49 years,Probability of death,2023,0.029020277946163166,0.0378162723734604,0.021348133968852424
All Population,Life table,Democratic People's Republic of Korea,Female,45-49 years,Probability of death,2023,0.014058400705422558,0.018698791800973728,0.010423687918664798
All Population,Life table,Democratic People's Republic of Korea,Male,50-54 years,Probability of death,2023,0.04261992764096617,0.055832244927868445,0.031175641463825232
All Population,Life table,Democratic People's Republic of Korea,Female,50-54 years,Probability of death,2023,0.02210861256223658,0.028766578174270346,0.016908697897591
All Population,Life table,Democratic People's Republic of Korea,Male,55-59 years,Probability of death,2023,0.06148518822141437,0.0795672334497528,0.04537180200937385
All Population,Life table,Democratic People's Republic of Korea,Female,55-59 years,Probability of death,2023,0.034928829997923135,0.04556513377860202,0.02636368296653029
All Population,Life table,Democratic People's Republic of Korea,Male,60-64 years,Probability of death,2023,0.09164063806774311,0.11813591479715868,0.06950999354364056
All Population,Life table,Democratic People's Republic of Korea,Female,60-64 years,Probability of death,2023,0.05748523098771976,0.07467396378044162,0.04386661294215968
All Population,Life table,Democratic People's Republic of Korea,Male,65-69 years,Probability of death,2023,0.13818156302795742,0.17434602024106652,0.10640486809046776
All Population,Life table,Democratic People's Republic of Korea,Female,65-69 years,Probability of death,2023,0.0950556687513795,0.12270992253059633,0.07181582408793735
